space_no,pos_x,pos_y
1,93,40
2,93,39
3,93,38
4,93,35
5,93,33
6,93,31
7,93,28
8,93,27
9,93,26
10,93,25
11,93,19
12,93,18
13,93,17
14,93,16
15,93,13
16,93,11
17,93,9
18,93,6
19,93,5
20,93,3
21,91,2
22,90,2
23,89,2
24,88,2
25,87,2
26,86,2
27,85,2
28,82,1
29,80,1
30,73,2
31,72,2
32,71,2
33,70,2
34,69,2
35,68,2
36,67,2
37,61,2
38,60,2
39,59,2
40,58,2
41,57,2
42,56,2
43,55,2
44,51,1
45,49,1
46,40,2
47,39,2
48,38,2
49,37,2
50,36,2
51,35,2
52,34,2
53,28,2
54,27,2
55,26,2
56,25,2
57,24,2
58,23,2
59,22,2
60,18,1
61,16,1
62,8,2
63,7,2
64,6,2
65,5,2
66,4,2
67,3,2
68,2,2
69,0,3
70,0,5
71,0,6
72,0,9
73,0,11
74,0,13
75,0,16
76,0,17
77,0,18
78,0,19
79,0,25
80,0,26
81,0,27
82,0,28
83,0,31
84,0,33
85,0,35
86,0,38
87,0,39
88,0,40
1,89,40
2,89,39
3,89,38
4,89,37
5,89,36
6,89,35
7,89,34
8,89,32
9,89,31
10,89,30
11,89,29
12,89,28
13,89,27
14,89,26
15,89,25
16,89,20
17,89,19
18,89,18
19,89,17
20,89,16
21,89,15
22,89,14
23,89,12
24,89,11
25,89,10
26,89,9
27,89,8
28,89,7
29,89,6
30,88,6
31,88,7
32,88,8
33,88,9
34,88,10
35,88,11
36,88,12
37,88,14
38,88,15
39,88,16
40,88,17
41,88,18
42,88,19
43,88,20
44,88,25
45,88,26
46,88,27
47,88,28
48,88,29
49,88,30
50,88,31
51,88,32
52,88,34
53,88,35
54,88,36
55,88,37
56,88,38
57,88,39
58,88,40
1,86,40
2,86,39
3,86,38
4,86,37
5,86,36
6,86,35
7,86,34
8,86,32
9,86,31
10,86,30
11,86,29
12,86,28
13,86,27
14,86,26
15,86,25
16,86,20
17,86,19
18,86,18
19,86,17
20,86,16
21,86,15
22,86,14
23,86,12
24,86,11
25,86,10
26,86,9
27,86,8
28,86,7
29,86,6
30,85,6
31,85,7
32,85,8
33,85,9
34,85,10
35,85,11
36,85,12
37,85,14
38,85,15
39,85,16
40,85,17
41,85,18
42,85,19
43,85,20
44,85,25
45,85,26
46,85,27
47,85,28
48,85,29
49,85,30
50,85,31
51,85,32
52,85,34
53,85,35
54,85,36
55,85,37
56,85,38
57,85,39
58,85,40
1,83,40
2,83,39
3,83,38
4,83,37
5,83,36
6,83,35
7,83,34
8,83,32
9,83,31
10,83,30
11,83,29
12,83,28
13,83,27
14,83,26
15,83,25
16,83,20
17,83,19
18,83,18
19,83,17
20,83,16
21,83,15
22,83,14
23,83,12
24,83,11
25,83,10
26,83,9
27,83,8
28,83,7
29,83,6
30,82,6
31,82,7
32,82,8
33,82,9
34,82,10
35,82,11
36,82,12
37,82,14
38,82,15
39,82,16
40,82,17
41,82,18
42,82,19
43,82,20
44,82,25
45,82,26
46,82,27
47,82,28
48,82,29
49,82,30
50,82,31
51,82,32
52,82,34
53,82,35
54,82,36
55,82,37
56,82,38
57,82,39
58,82,40
1,80,40
2,80,39
3,80,38
4,80,37
5,80,36
6,80,35
7,80,34
8,80,32
9,80,31
10,80,30
11,80,29
12,80,28
13,80,27
14,80,26
15,80,25
16,80,20
17,80,19
18,80,18
19,80,17
20,80,16
21,80,15
22,80,14
23,80,12
24,80,11
25,80,10
26,80,9
27,80,8
28,80,7
29,80,6
30,79,6
31,79,7
32,79,8
33,79,9
34,79,10
35,79,11
36,79,12
37,79,14
38,79,15
39,79,16
40,79,17
41,79,18
42,79,19
43,79,20
44,79,25
45,79,26
46,79,27
47,79,28
48,79,29
49,79,30
50,79,31
51,79,32
52,79,34
53,79,35
54,79,36
55,79,37
56,79,38
57,79,39
58,79,40
1,75,40
2,75,39
3,75,38
4,75,37
5,75,36
6,75,35
7,75,34
8,75,32
9,75,31
10,75,30
11,75,29
12,75,28
13,75,27
14,75,26
15,75,25
16,75,20
17,75,19
18,75,18
19,75,17
20,75,16
21,75,15
22,75,14
23,75,12
24,75,11
25,75,10
26,75,9
27,75,8
28,75,7
29,75,6
30,74,6
31,74,7
32,74,8
33,74,9
34,74,10
35,74,11
36,74,12
37,74,14
38,74,15
39,74,16
40,74,17
41,74,18
42,74,19
43,74,20
44,74,25
45,74,26
46,74,27
47,74,28
48,74,29
49,74,30
50,74,31
51,74,32
52,74,34
53,74,35
54,74,36
55,74,37
56,74,38
57,74,39
58,74,40
1,72,40
2,72,39
3,72,38
4,72,37
5,72,36
6,72,35
7,72,34
8,72,32
9,72,31
10,72,30
11,72,29
12,72,28
13,72,27
14,72,26
15,72,25
16,72,20
17,72,19
18,72,18
19,72,17
20,72,16
21,72,15
22,72,14
23,72,12
24,72,11
25,72,10
26,72,9
27,72,8
28,72,7
29,72,6
30,71,6
31,71,7
32,71,8
33,71,9
34,71,10
35,71,11
36,71,12
37,71,14
38,71,15
39,71,16
40,71,17
41,71,18
42,71,19
43,71,20
44,71,25
45,71,26
46,71,27
47,71,28
48,71,29
49,71,30
50,71,31
51,71,32
52,71,34
53,71,35
54,71,36
55,71,37
56,71,38
57,71,39
58,71,40
1,69,40
2,69,39
3,69,38
4,69,37
5,69,36
6,69,35
7,69,34
8,69,32
9,69,31
10,69,30
11,69,29
12,69,28
13,69,27
14,69,26
15,69,25
16,69,20
17,69,19
18,69,18
19,69,17
20,69,16
21,69,15
22,69,14
23,69,12
24,69,11
25,69,10
26,69,9
27,69,8
28,69,7
29,69,6
30,68,6
31,68,7
32,68,8
33,68,9
34,68,10
35,68,11
36,68,12
37,68,14
38,68,15
39,68,16
40,68,17
41,68,18
42,68,19
43,68,20
44,68,25
45,68,26
46,68,27
47,68,28
48,68,29
49,68,30
50,68,31
51,68,32
52,68,34
53,68,35
54,68,36
55,68,37
56,68,38
57,68,39
58,68,40
1,66,40
2,66,39
3,66,38
4,66,37
5,66,36
6,66,35
7,66,34
8,66,32
9,66,31
10,66,30
11,66,29
12,66,28
13,66,27
14,66,26
15,66,25
16,66,20
17,66,19
18,66,18
19,66,17
20,66,16
21,66,15
22,66,14
23,66,12
24,66,11
25,66,10
26,66,9
27,66,8
28,66,7
29,66,6
30,65,6
31,65,7
32,65,8
33,65,9
34,65,10
35,65,11
36,65,12
37,65,14
38,65,15
39,65,16
40,65,17
41,65,18
42,65,19
43,65,20
44,65,25
45,65,26
46,65,27
47,65,28
48,65,29
49,65,30
50,65,31
51,65,32
52,65,34
53,65,35
54,65,36
55,65,37
56,65,38
57,65,39
58,65,40
1,62,40
2,62,39
3,62,38
4,62,37
5,62,36
6,62,35
7,62,34
8,62,32
9,62,31
10,62,30
11,62,29
12,62,28
13,62,27
14,62,26
15,62,25
16,62,20
17,62,19
18,62,18
19,62,17
20,62,16
21,62,15
22,62,14
23,62,12
24,62,11
25,62,10
26,62,9
27,62,8
28,62,7
29,62,6
30,61,6
31,61,7
32,61,8
33,61,9
34,61,10
35,61,11
36,61,12
37,61,14
38,61,15
39,61,16
40,61,17
41,61,18
42,61,19
43,61,20
44,61,25
45,61,26
46,61,27
47,61,28
48,61,29
49,61,30
50,61,31
51,61,32
52,61,34
53,61,35
54,61,36
55,61,37
56,61,38
57,61,39
58,61,40
1,59,40
2,59,39
3,59,38
4,59,37
5,59,36
6,59,35
7,59,34
8,59,32
9,59,31
10,59,30
11,59,29
12,59,28
13,59,27
14,59,26
15,59,25
16,59,20
17,59,19
18,59,18
19,59,17
20,59,16
21,59,15
22,59,14
23,59,12
24,59,11
25,59,10
26,59,9
27,59,8
28,59,7
29,59,6
30,58,6
31,58,7
32,58,8
33,58,9
34,58,10
35,58,11
36,58,12
37,58,14
38,58,15
39,58,16
40,58,17
41,58,18
42,58,19
43,58,20
44,58,25
45,58,26
46,58,27
47,58,28
48,58,29
49,58,30
50,58,31
51,58,32
52,58,34
53,58,35
54,58,36
55,58,37
56,58,38
57,58,39
58,58,40
1,56,40
2,56,39
3,56,38
4,56,37
5,56,36
6,56,35
7,56,34
8,56,32
9,56,31
10,56,30
11,56,29
12,56,28
13,56,27
14,56,26
15,56,25
16,56,20
17,56,19
18,56,18
19,56,17
20,56,16
21,56,15
22,56,14
23,56,12
24,56,11
25,56,10
26,56,9
27,56,8
28,56,7
29,56,6
30,55,6
31,55,7
32,55,8
33,55,9
34,55,10
35,55,11
36,55,12
37,55,14
